Country,Region,Population,Under15,Over60,FertilityRate,LifeExpectancy,ChildMortality,CellularSubscribers
Central African Republic,Africa,4525,40.07,5.74,"
4.54
",48,128.6,40.65
Chad,Africa,12448,48.52,3.8,"
6.49
",51,149.8,31.8
Chile,Americas,17465,21.38,13.8,"
1.84
",79,9.1,129.71
China,Western Pacific,1390000,17.95,13.42,"
1.66
",76,14,73.19
Colombia,Americas,47704,28.03,9.19,"
2.35
",78,17.6,98.45
Comoros,Africa,718,42.17,4.5,"
4.85
",62,77.6,28.71
Congo,Africa,4337,42.37,5.13,"
5.05
",58,96,93.84
Costa Rica,Americas,4805,23.94,10.15,"
1.83
",79,9.9,92.2
Ivory Coast,Africa,19840,41.48,5.1,"
4.91
",56,107.6,86.06
Croatia,Europe,4307,14.98,24.69,"
1.48
",77,4.7,116.37
Cuba,Americas,11271,16.58,17.95,"
1.46
",78,5.5,11.69
Cyprus,Europe,1129,17.16,16.92,"
1.47
",81,3.2,97.71
Czech Republic,Europe,10660,14.56,23.23,"
1.53
",78,3.8,123.44
Democratic People's Republic of Korea,South-East Asia,24763,21.98,12.74,"
2
",69,28.8,4.09
Democratic Republic of the Congo,Africa,65705,45.11,4.51,"
6.15
",49,145.7,23.09
Denmark,Europe,5598,17.66,23.9,"
1.88
",79,3.7,128.47
Djibouti,Eastern Mediterranean,860,33.72,5.96,"
3.53
",58,80.9,21.32
Dominican Republic,Americas,10277,30.53,8.97,"
2.55
",73,27.1,87.22
Ecuador,Americas,15492,30.29,9.21,"
2.62
",76,23.3,104.55
Egypt,Eastern Mediterranean,80722,31.25,8.62,"
2.85
",73,21,101.08
El Salvador,Americas,6297,30.62,9.64,"
2.24
",72,15.9,133.54
Equatorial Guinea,Africa,736,38.95,4.53,"
5.04
",54,100.3,59.15
Eritrea,Africa,6131,43.1,3.73,"
4.88
",61,51.8,4.47
Estonia,Europe,1291,15.69,23.92,"
1.62
",76,3.6,138.98
Ethiopia,Africa,91729,43.29,5.17,"
4.77
",60,68.3,16.67
Fiji,Western Pacific,875,28.88,8.38,"
2.64
",70,22.4,83.72
Finland,Europe,5408,16.42,25.9,"
1.85
",81,2.9,166.02
France,Europe,63937,18.26,23.82,"
1.98
",82,4.1,94.79
Gabon,Africa,1633,38.49,7.38,"
4.18
",62,62,117.32
Gambia,Africa,1791,45.9,3.72,"
5.79
",58,72.9,78.89
Georgia,Europe,4358,17.62,19.47,"
1.82
",72,19.9,102.31
Germany,Europe,82800,13.17,26.72,"
1.4
",81,4.1,132.3
Ghana,Africa,25366,38.59,5.4,"
3.99
",64,72,84.78
Greece,Europe,11125,14.6,25.41,"
1.51
",81,4.8,106.48
Guatemala,Americas,15083,40.8,6.56,"
3.91
",69,32,140.38
Guinea,Africa,11451,42.46,5.03,"
5.09
",55,101.2,44.02
Guinea-Bissau,Africa,1664,41.55,5.06,"
5.05
",50,129.1,56.18
Guyana,Americas,795,36.77,5.18,"
2.64
",63,35.2,69.94
Haiti,Americas,10174,35.35,6.7,"
3.28
",63,75.6,41.49
Honduras,Americas,7936,35.72,6.41,"
3.1
",74,22.9,103.97
Hungary,Europe,9976,14.62,23.41,"
1.38
",75,6.2,117.3
Iceland,Europe,326,20.71,17.62,"
2.11
",82,2.3,106.08
India,South-East Asia,1240000,29.43,8.1,"
2.53
",65,56.3,72
Indonesia,South-East Asia,247000,29.27,7.86,"
2.4
",69,31,103.09
Iran (Islamic Republic of),Eastern Mediterranean,76424,23.68,7.82,"
1.91
",73,17.6,74.93
Iraq,Eastern Mediterranean,32778,40.51,4.95,"
4.15
",69,34.4,78.12
Ireland,Europe,4576,21.54,16.59,"
2
",81,4,108.41
Israel,Europe,7644,27.53,15.15,"
2.92
",82,4.2,121.66
Italy,Europe,60885,14.04,26.97,"
1.45
",82,3.8,157.93
Jamaica,Americas,2769,27.78,10.98,"
2.31
",75,16.8,108.12
Japan,Western Pacific,127000,13.12,31.92,"
1.39
",83,3,104.95
Jordan,Eastern Mediterranean,7009,34.13,5.3,"
3.39
",74,19.1,118.2
Kazakhstan,Europe,16271,25.46,10.04,"
2.52
",67,18.7,155.74
Kenya,Africa,43178,42.37,4.25,"
4.54
",60,72.9,67.49
Kiribati,Western Pacific,101,30.1,8.84,"
3.01
",67,59.9,13.64
Kuwait,Eastern Mediterranean,3250,24.9,3.8,"
2.65
",80,11,175.09
Kyrgyzstan,Europe,5474,30.21,6.34,"
3.03
",69,26.6,116.4
Lao People's Democratic Republic,Western Pacific,6646,35.61,5.76,"
3.2
",68,71.8,87.16
Latvia,Europe,2060,14.57,24.24,"
1.57
",74,8.7,102.94
Lebanon,Eastern Mediterranean,4647,21.64,12.03,"
1.5
",74,9.3,78.65
Lesotho,Africa,2052,36.75,6.31,"
3.15
",50,99.6,56.17
Liberia,Africa,4190,43.06,4.76,"
4.95
",59,74.8,49.17
Libya,Eastern Mediterranean,6155,29.45,6.96,"
2.47
",65,15.4,155.7
Lithuania,Europe,3028,15.13,20.57,"
1.49
",74,5.4,151.3
Luxembourg,Europe,524,17.46,19.15,"
1.65
",82,2.2,148.27
Madagascar,Africa,22294,42.72,4.45,"
4.59
",66,58.2,40.65
Malawi,Africa,15906,45.44,4.92,"
5.55
",58,71,25.69
Malaysia,Western Pacific,29240,26.65,8.21,"
1.99
",74,8.5,127.04
Maldives,South-East Asia,338,29.03,6.65,"
2.31
",77,10.5,165.72
Mali,Africa,14854,47.14,4.29,"
6.85
",51,128,68.32
Malta,Europe,428,14.98,22.87,"
1.37
",80,6.8,124.86
Mauritania,Africa,3796,40.22,4.94,"
4.78
",59,84,93.6
Mauritius,Africa,1240,20.17,13.23,"
1.51
",74,15.1,99.04
Mexico,Americas,121000,29.02,9.18,"
2.25
",75,16.2,82.38
Mongolia,Western Pacific,2796,27.05,5.8,"
2.45
",68,27.5,105.08
Morocco,Eastern Mediterranean,32521,27.85,7.61,"
2.65
",72,31.1,113.26
Mozambique,Africa,25203,45.38,5.01,"
5.34
",53,89.7,32.83
Myanmar,South-East Asia,52797,25.28,8.15,"
1.98
",65,52.3,2.57
Namibia,Africa,2259,36.59,5.38,"
3.17
",65,38.7,96.39
Nepal,South-East Asia,27474,35.58,7.65,"
2.5
",68,41.6,43.81
New Zealand,Western Pacific,4460,20.26,19.01,"
2.1
",81,5.7,109.19
Nicaragua,Americas,5992,33.37,6.59,"
2.59
",73,24.4,82.15
Niger,Africa,17157,49.99,4.26,"
7.58
",56,113.5,29.52
Nigeria,Africa,169000,44.23,4.49,"
6.02
",53,123.7,58.58
Norway,Europe,4994,18.64,21.41,"
1.93
",81,2.8,115.62
Oman,Eastern Mediterranean,3314,24.19,3.99,"
2.9
",72,11.6,168.97
Pakistan,Eastern Mediterranean,179000,34.31,6.44,"
3.35
",67,85.9,61.61
Panama,Americas,3802,28.65,10.13,"
2.52
",77,18.5,188.6
Papua New Guinea,Western Pacific,7167,38.37,4.79,"
3.9
",63,63,34.22
Paraguay,Americas,6687,32.78,8.01,"
2.93
",75,22,99.4
Peru,Americas,29988,29.18,9.12,"
2.48
",77,18.2,110.41
Philippines,Western Pacific,96707,34.53,6.21,"
3.11
",69,29.8,99.3
Poland,Europe,38211,14.91,20.48,"
1.39
",76,5,130.97
Portugal,Europe,10604,14.92,24.39,"
1.33
",80,3.6,115.39
Qatar,Eastern Mediterranean,2051,13.28,1.73,"
2.06
",82,7.4,123.11
Republic of Korea,Western Pacific,49003,15.25,16.58,"
1.29
",81,3.8,108.5
Republic of Moldova,Europe,3514,16.52,16.72,"
1.47
",71,17.6,104.8
Romania,Europe,21755,15.05,20.66,"
1.39
",74,12.2,109.16
Russian Federation,Europe,143000,15.45,18.6,"
1.51
",69,10.3,179.31
Rwanda,Africa,11458,43.56,3.94,"
4.73
",60,55,40.63
Saint Lucia,Americas,181,24.31,12.13,"
1.96
",75,17.5,123
Saint Vincent and the Grenadines,Americas,109,25.7,9.92,"
2.05
",74,23.4,120.52
Sao Tome and Principe,Africa,188,41.6,4.76,"
4.22
",63,53.2,68.26
Saudi Arabia,Eastern Mediterranean,28288,29.69,4.59,"
2.76
",76,8.6,191.24
Senegal,Africa,13726,43.54,4.57,"
5.02
",61,59.6,73.25
Serbia,Europe,9553,16.45,20.52,"
1.37
",74,6.6,125.39
Seychelles,Africa,92,21.95,10.05,"
2.23
",74,13.1,145.71
Sierra Leone,Africa,5979,41.74,4.41,"
4.86
",47,181.6,35.63
Singapore,Western Pacific,5303,16.48,15.13,"
1.27
",82,2.9,150.24
Slovakia,Europe,5446,15,18.6,"
1.37
",76,7.5,109.35
Slovenia,Europe,2068,14.16,23.16,"
1.49
",80,3.1,106.56
Solomon Islands,Western Pacific,550,40.37,5.1,"
4.17
",70,31.1,49.77
Somalia,Eastern Mediterranean,10195,47.35,4.46,"
6.77
",50,147.4,6.85
South Africa,Africa,52386,29.53,8.44,"
2.44
",58,44.6,126.83
Spain,Europe,46755,15.2,22.86,"
1.47
",82,4.5,113.22
Sri Lanka,South-East Asia,21098,25.15,12.4,"
2.35
",75,9.6,87.05
Sudan,Eastern Mediterranean,37195,41.48,4.99,"
4.56
",62,73.1,56.14
Suriname,Americas,535,27.83,9.55,"
2.32
",72,20.8,178.88
Swaziland,Africa,1231,38.05,5.34,"
3.48
",50,79.7,63.7
Sweden,Europe,9511,16.71,25.32,"
1.93
",82,2.9,118.57
Switzerland,Europe,7997,14.79,23.25,"
1.51
",83,4.3,131.43
Syrian Arab Republic,Eastern Mediterranean,21890,35.35,6.09,"
3.04
",75,15.1,63.17
Tajikistan,Europe,8009,35.75,4.8,"
3.81
",68,58.3,90.64
Thailand,South-East Asia,66785,18.47,13.96,"
1.43
",74,13.2,111.63
The former Yugoslav Republic of Macedonia,Europe,2106,16.89,17.56,"
1.44
",75,7.4,107.24
Timor-Leste,South-East Asia,1114,46.33,5.16,"
6.11
",64,56.7,53.23
Togo,Africa,6643,41.89,4.44,"
4.75
",56,95.5,50.45
Tonga,Western Pacific,105,37.33,7.96,"
3.86
",72,12.8,52.63
Trinidad and Tobago,Americas,1337,20.73,13.18,"
1.8
",71,20.7,135.64
Tunisia,Eastern Mediterranean,10875,23.22,10.49,"
2.04
",76,16.1,116.93
Turkey,Europe,73997,26,10.56,"
2.08
",76,14.2,88.7
Turkmenistan,Europe,5173,28.65,6.3,"
2.38
",63,52.8,68.77
Uganda,Africa,36346,48.54,3.72,"
6.06
",56,68.9,48.38
Ukraine,Europe,45530,14.18,20.76,"
1.45
",71,10.7,122.98
United Arab Emirates,Eastern Mediterranean,9206,14.41,0.81,"
1.84
",76,8.4,148.62
United Kingdom,Europe,62783,17.54,23.06,"
1.9
",80,4.8,130.75
United Republic of Tanzania,Africa,47783,44.85,4.89,"
5.36
",59,54,55.53
United States of America,Americas,318000,19.63,19.31,"
2
",79,7.1,92.72
Uruguay,Americas,3395,22.05,18.59,"
2.07
",77,7.2,140.75
Uzbekistan,Europe,28541,28.9,6.38,"
2.38
",68,39.6,91.65
Vanuatu,Western Pacific,247,37.37,6.02,"
3.46
",72,17.9,55.76
Venezuela (Bolivarian Republic of),Americas,29955,28.84,9.17,"
2.44
",75,15.3,97.78
Viet Nam,Western Pacific,90796,22.87,9.32,"
1.79
",75,23,143.39
Yemen,Eastern Mediterranean,23852,40.72,4.54,"
4.35
",64,60,47.05
Zambia,Africa,14075,46.73,3.95,"
5.77
",55,88.5,60.59
Zimbabwe,Africa,13724,40.24,5.68,"
3.64
",54,89.8,72.13
